player,nationality,age,league,market_value_eur,score_contrib_per90,cards_2019_20,avg_match_rating,injury_days_total,married
Birkir Bjarnason,ISL,31,Serie A,80000,0.11,1,6.24,,
Diego LĂłpez,ESP,37,La Liga,80000,0.0,6,6.23,,
Luigi Sepe,ITA,28,Serie A,4000000,0.0,1,6.73,,
Juan Jesus,BRA,28,Serie A,3500000,0.0,2,6.54,,
Marc Cardona,ESP,24,La Liga,1000000,0.39,1,6.37,,
Raphael Framberger,GER,23,Bundesliga,1000000,0.15,3,6.68,,
JoĂŁo FĂ©lix,POR,19,La Liga,81000000,0.36,6,7.01,,
FayĂ§al Fajr,MAR,30,La Liga,3000000,0.0,2,6.31,,
Simon Terodde,GER,31,Bundesliga,2000000,0.44,4,6.32,,
Jonathan Burkardt,GER,19,Bundesliga,1000000,0.36,0,6.34,,
AntonĂ­n BarĂˇk,CZE,24,Serie A,8000000,0.0,1,6.65,,
Marco Richter,GER,21,Bundesliga,8000000,0.28,2,6.77,,
Esteban Burgos,ARG,27,La Liga,72500,0.08,3,6.73,,
Wesley Lautoa,NCL,31,Ligue 1,1000000,0.05,3,6.64,,
Antonin Bobichon,FRA,23,Ligue 1,2000000,0.0,0,6.35,,
David Silva,ESP,33,Premier League,12000000,0.79,0,6.72,,
Steven Nzonzi,FRA,30,Ligue 1,11000000,0.0,0,6.51,,
Remi Oudin,FRA,22,Ligue 1,7000000,0.32,1,6.73,,
Jamilu Collins,NGA,24,Bundesliga,2000000,0.1,10,6.18,,
Jan Vertonghen,BEL,32,Premier League,14000000,0.1,2,6.49,,
Mamadou Sakho,FRA,29,Premier League,9000000,0.0,2,6.51,,
Karim Onisiwo,AUT,27,Bundesliga,3000000,0.52,3,6.74,,
Ridle Baku,GER,21,Bundesliga,5000000,0.15,6,6.22,,
Andrea Masiello,ITA,33,Serie A,1000000,0.07,4,6.42,,
Kai PrĂ¶ger,GER,27,Bundesliga,1000000,0.35,0,6.08,,
Luca Tremolada,ITA,27,Serie A,72500,0.0,0,5.83,,
Davie Selke,GER,24,Bundesliga,8000000,0.18,3,6.23,,
Ayoze PĂ©rez,ESP,26,Premier League,24000000,0.54,0,6.75,,
Kasper Schmeichel,DEN,32,Premier League,9000000,0.0,2,6.72,,
Ălvaro Vadillo,ESP,24,La Liga,2000000,0.29,0,6.66,,
Glenn Murray,ENG,35,Premier League,1000000,0.22,0,6.22,,
Stefan SaviÄ‡,MNE,28,La Liga,20000000,0.0,6,6.46,,
Tyrone Mings,ENG,26,Premier League,22000000,0.12,7,6.76,,
Denilho Cleonise,NED,17,Serie A,1000000,0.0,2,6.66,,
Rodrigo TarĂ­n,ESP,23,La Liga,1200000,0.0,1,6.38,,
Davy PrĂ¶pper,NED,27,Premier League,13000000,0.09,4,6.21,,
Bryan,ESP,18,La Liga,9000000,0.16,2,6.38,,
Dominick Drexler,GER,29,Bundesliga,3000000,0.4,5,6.05,,
GaĂ«tan Bong,CMR,31,Premier League,80000,0.0,0,6.79,,
Federico Dimarco,ITA,21,Serie A,4000000,0.0,0,6.28,,
Yann Karamoh,FRA,21,Serie A,9000000,0.32,0,6.48,,
Moi GĂłmez,ESP,25,La Liga,4000000,0.35,1,5.97,,
Fernando Llorente,ESP,34,Serie A,4000000,0.72,1,6.47,,
Guido RodrĂ­guez,ARG,25,La Liga,8000000,0.1,5,6.67,,
Matthijs de Ligt,NED,19,Serie A,67000000,0.15,5,7.46,,
Ilija Nestorovski,MKD,29,Serie A,2000000,0.29,4,9.0,,
Diogo Dalot,POR,20,Premier League,18000000,0.0,0,9.0,,
Miguel MarĂ­,ESP,22,La Liga,25000,0.0,0,5.97,,
Christophe Jallet,FRA,35,Ligue 1,25000,0.22,0,6.19,,
Emi BuendĂ­a,ARG,22,Premier League,14000000,0.3,7,6.75,,
Bastian Oczipka,GER,30,Bundesliga,3000000,0.15,4,6.46,,
Lukasz Fabianski,POL,34,Premier League,2500000,0.0,1,5.94,,
Arkadiusz Reca,POL,24,Serie A,2000000,0.09,2,6.87,,
Bobby Adekanye,NED,20,Serie A,52500,0.48,1,6.6,,
Benjamin Pavard,FRA,23,Bundesliga,28000000,0.26,5,7.01,,
Sven Ulreich,GER,30,Bundesliga,3000000,0.0,1,6.53,,
Sergi GĂłmez,ESP,27,La Liga,4000000,0.0,4,6.11,,
Robert BeriÄ‡,SVN,28,Ligue 1,2400000,0.22,0,6.74,,
Kevin Kampl,SVN,28,Bundesliga,17000000,0.54,1,6.42,,
Quini,ESP,29,La Liga,400,0.0,2,6.22,,
Ken Sema,SWE,25,Serie A,4800000,0.11,6,6.37,,
Tony Jantschke,GER,29,Bundesliga,2000000,0.0,6,5.97,,
AndrĂ© Silva,POR,23,Bundesliga,16000000,0.86,1,6.79,,
Lautaro MartĂ­nez,ARG,21,Serie A,64000000,0.62,9,7.19,,
James RodrĂ­guez,COL,28,La Liga,32000000,0.42,1,6.8,,
Ragnar Klavan,EST,33,Serie A,1000000,0.0,4,6.75,,
Charles ArĂˇnguiz,CHI,30,Bundesliga,12000000,0.17,2,6.73,,
Omar Colley,GAM,26,Serie A,5000000,0.03,10,6.58,,
Daniel Podence,POR,23,Premier League,12000000,0.31,0,6.69,,
BenoĂ®t Mukinayi,FRA,18,Ligue 1,25000000,0.0,0,6.46,,
MartĂ­n CĂˇceres,URU,32,Serie A,1000000,0.04,11,6.69,,
Gil BastiĂŁo Dias,POR,22,Ligue 1,3200000,0.0,3,6.44,,
Jonathan Bamba,FRA,23,Ligue 1,16000000,0.24,1,6.15,,
Dries Mertens,BEL,32,Serie A,20000000,0.85,5,6.74,,
Christian Clemens,GER,27,Bundesliga,1000000,0.0,0,7.0,,
Marcelo,BRA,31,La Liga,12000000,0.21,2,6.42,,
Dan-Axel Zagadou,FRA,20,Bundesliga,31000000,0.18,1,6.43,,
Eddy Salcedo,ITA,17,Serie A,10000000,0.13,0,6.35,,
