player,nationality,age,league,market_value_eur,score_contrib_per90,cards_2019_20,avg_match_rating,injury_days_total,married
Haitam Aleesami,NOR,28,Ligue 1,1000000,0.1,4,6.35,,
Markus Schubert,GER,21,Bundesliga,1000000,0.0,0,6.39,,
AdriĂˇn Ramos,COL,33,La Liga,80000,0.0,0,6.62,,
Valentino Lazaro,AUT,23,Premier League,15000000,0.19,1,6.82,,
Edimilson Fernandes,SUI,23,Bundesliga,5000000,0.06,8,6.87,,
David Zurutuza,ESP,33,La Liga,1000000,0.0,0,6.04,,
Deyverson,BRA,28,La Liga,3000000,0.44,2,6.73,,
Moussa WaguĂ©,SEN,20,Ligue 1,6000000,0.9,0,7.01,,
Farid El Melali,ALG,22,Ligue 1,1000000,0.88,0,6.43,,
Max Aarons,ENG,19,Premier League,20000000,0.03,7,6.67,,
Jessic Ngankam,GER,19,Bundesliga,30000,1.06,0,6.34,,
Lyle Foster,RSA,18,Ligue 1,1000000,0.0,0,6.86,,
Denis SuĂˇrez,ESP,25,La Liga,9000000,0.34,2,6.54,,
Jordan Henderson,ENG,29,Premier League,28000000,0.36,2,6.28,,
Reece Oxford,ENG,20,Bundesliga,2000000,0.0,0,6.5,,
Dan Gosling,ENG,29,Premier League,2000000,0.28,3,6.04,,
Ihsan Sacko,FRA,22,Ligue 1,1000000,0.0,0,6.02,,
Danny Drinkwater,ENG,29,Premier League,4000000,0.0,1,6.83,,
Kaan Ayhan,TUR,24,Bundesliga,7000000,0.17,10,6.54,,
Esteban Granero,ESP,32,La Liga,2000000,0.19,5,6.3,,
GerĂłnimo Rulli,ARG,27,Ligue 1,5000000,0.0,0,6.89,,
Aritz Aduriz,ESP,38,La Liga,800,0.43,3,6.15,,
Pablo Martinez,FRA,30,Ligue 1,2000000,0.12,6,6.18,,
Ă“scar Duarte,CRC,30,La Liga,72500,0.0,0,6.5,,
Junior Firpo,ESP,22,La Liga,14000000,0.18,5,6.9,,
Karim Benzema,FRA,31,La Liga,32000000,0.83,0,7.02,,
Renato Sanches,POR,21,Ligue 1,16000000,0.24,3,6.45,,
Jonathan Silva,ARG,25,La Liga,3000000,0.09,14,6.44,,
Yann M'Vila,FRA,29,Ligue 1,6000000,0.09,1,6.26,,
Wes Morgan,JAM,35,Premier League,1000000,0.0,0,6.07,,
Lukas Klostermann,GER,23,Bundesliga,28000000,0.13,1,6.74,,
Ozan Kabak,TUR,19,Bundesliga,29000000,0.2,4,6.12,,
Lucas Biglia,ARG,33,Serie A,2000000,0.13,4,6.26,,
Mattia Viviani,ITA,18,Serie A,35000,0.0,0,6.67,,
Josuha Guilavogui,FRA,28,Bundesliga,11000000,0.04,8,6.13,,
Neven SubotiÄ‡,SRB,30,Bundesliga,1700000,0.05,4,6.24,,
Dimitri Foulquier,FRA,26,La Liga,2000000,0.08,4,6.32,,
Javier Manquillo,ESP,25,Premier League,4000000,0.06,5,6.48,,
Gian Marco Ferrari,ITA,27,Serie A,8000000,0.05,5,6.41,,
Yannis Clementia,FRA,22,Ligue 1,95000,0.0,0,6.59,,
Lucas Castro,ARG,30,Serie A,3000000,0.3,2,6.32,,
Maya Yoshida,JPN,30,Serie A,4000000,0.08,1,6.52,,
Florian AyĂ©,FRA,22,Serie A,1000000,0.0,5,6.09,,
Casemiro,BRA,27,La Liga,65000000,0.21,12,7.23,,
Phil Jones,ENG,27,Premier League,7000000,0.0,0,6.08,,
Matthew Lowton,ENG,30,Premier League,4000000,0.06,2,6.61,,
Luca Zanimacchia,ITA,21,Serie A,25000,0.0,0,6.28,,
Ben Davies,WAL,26,Premier League,17000000,0.0,6,6.6,,
Wladimiro Falcone,ITA,24,Serie A,15000,0.0,1,6.4,,
Filip KostiÄ‡,SRB,26,Bundesliga,32000000,0.45,4,6.83,,
Vasco Regini,ITA,28,Serie A,72500,0.0,0,6.7,,
Florian Kastenmeier,GER,22,Bundesliga,65000,0.0,0,6.56,,
Jonjoe Kenny,ENG,22,Bundesliga,9000000,0.17,5,6.55,,
Nicolas PĂ©pĂ©,CIV,24,Premier League,52000000,0.49,4,6.74,,
AĂŻssa Mandi,ALG,27,La Liga,16000000,0.0,9,7.2,,
Leighton Baines,ENG,34,Premier League,1000000,0.0,0,6.18,,
John Stones,ENG,25,Premier League,36000000,0.0,0,6.23,,
Pedrosa,ESP,21,La Liga,5000000,0.08,3,6.27,,
Ă‰tienne Capoue,FRA,31,Premier League,5000000,0.1,8,6.61,,
Rafinha,BRA,26,La Liga,9500000,0.0,0,6.6,,
Mathew Ryan,AUS,27,Premier League,8000000,0.0,0,5.56,,
Jack Stephens,ENG,25,Premier League,5000000,0.15,5,6.24,,
Hugo Mallo,ESP,28,La Liga,7000000,0.05,7,5.43,,
James McCarthy,IRL,28,Premier League,2000000,0.0,9,6.14,,
Alfred Duncan,GHA,26,Serie A,13000000,0.64,3,6.14,,
IĂ±igo MartĂ­nez,ESP,28,La Liga,25000000,0.06,10,6.57,,
Sidnei,BRA,29,La Liga,5000000,0.08,1,6.59,,
Hatem Ben Arfa,FRA,32,La Liga,4000000,0.0,1,5.94,,
Lorenzo Pellegrini,ITA,23,Serie A,32000000,0.43,9,7.2,,
Erik Pieters,NED,30,Premier League,4000000,0.19,2,6.55,,
Pierre HĂ¸jbjerg,DEN,23,Premier League,25000000,0.03,5,6.1,,
AarĂłn Escandell,ESP,23,La Liga,30000,0.0,0,6.84,,
Sean Longstaff,ENG,21,Premier League,17000000,0.14,3,6.98,,
Yves Bissouma,MLI,22,Premier League,9000000,0.07,4,6.53,,
Roman BĂĽrki,SUI,28,Bundesliga,11000000,0.0,0,6.63,,
Anthony Lopes,POR,28,Ligue 1,17000000,0.0,1,6.75,,
Chris Richards,USA,19,Bundesliga,1000000,0.0,0,6.39,,
Berat Djimsiti,ALB,26,Serie A,12000000,0.09,5,6.97,,
Marco Stiepermann,GER,28,Premier League,3000000,0.0,6,5.79,,
Sofiane Boufal,MAR,25,Premier League,8000000,0.24,2,6.02,,
Juan Soriano,ESP,21,La Liga,1000000,0.0,2,6.5,,
ClĂ©ment Vidal,FRA,19,Ligue 1,45000,0.0,1,6.11,,
Matteo Politano,ITA,25,Serie A,22000000,0.48,1,6.67,,
DĂ­dac VilĂ ,ESP,30,La Liga,3000000,0.0,9,6.39,,
Sadio ManĂ©,SEN,27,Premier League,120000000,0.82,3,7.45,,
Paulo Dybala,ARG,25,Serie A,72000000,0.71,5,6.94,,
Benjamin Stambouli,FRA,28,Bundesliga,9000000,0.0,2,6.45,,
Marshall Munetsi,ZIM,23,Ligue 1,80000,0.21,3,6.73,,
Luca Sangalli,ESP,24,La Liga,2000000,0.24,0,6.73,,
Allan Saint-Maximin,FRA,22,Premier League,20000000,0.33,0,6.13,,
GonĂ§alo Guedes,POR,22,La Liga,22000000,0.28,3,6.98,,
Martin Braithwaite,DEN,28,La Liga,9000000,0.22,1,6.22,,
Jaume CuĂ©llar,BOL,17,Serie A,10000,0.0,0,6.26,,
RaĂşl JimĂ©nez,MEX,28,Premier League,40000000,0.64,3,6.62,,
Yann Gboho,FRA,18,Ligue 1,2000000,0.8,1,6.45,,
Rene Krhin,SVN,29,Ligue 1,1000000,0.0,0,6.24,,
Mark Uth,GER,27,Bundesliga,7500000,0.78,5,6.25,,
Federico Santander,PAR,28,Serie A,4000000,0.12,6,6.57,,
Kevin Agudelo,COL,20,Serie A,2000000,0.0,0,6.34,,
Ante Budimir,CRO,28,La Liga,6000000,0.49,12,6.67,,
Chadrac Akolo,COD,24,Ligue 1,1000000,0.5,1,6.33,,
LoĂŻc Perrin,FRA,33,Ligue 1,1000000,0.0,5,6.1,,
Riccardo Gagliolo,SWE,29,Serie A,2000000,0.17,7,6.69,,
Ălvaro Odriozola,ESP,23,La Liga,16000000,0.26,4,6.37,,
Musa Barrow,GAM,20,Serie A,11000000,0.95,0,6.17,,
Josep SeĂ±Ă©,ESP,27,La Liga,30000,0.0,0,6.12,,
Milan Skriniar,SVK,24,Serie A,50000000,0.0,10,6.87,,
Jacob Bruun Larsen,DEN,20,Bundesliga,11000000,1.32,0,6.81,,
Connor Wickham,ENG,26,Premier League,1000000,1.88,0,6.6,,
Armando Izzo,ITA,27,Serie A,16000000,0.03,9,6.51,,
Divock Origi,BEL,24,Premier League,16000000,0.63,1,6.95,,
Adrien Rabiot,FRA,24,Serie A,25000000,0.1,8,6.88,,
Marco Sportiello,ITA,27,Serie A,2000000,0.0,0,6.1,,
Jean-Charles Castelletto,CMR,24,Ligue 1,2000000,0.05,4,6.13,,
Bruno Ecuele Manga,GAB,31,Ligue 1,2000000,0.0,2,6.53,,
Jonathan Ikone,FRA,21,Ligue 1,36000000,0.39,6,6.78,,
Kiko FemenĂ­a,ESP,28,Premier League,4000000,0.0,5,6.59,,
Morgan Gibbs-White,ENG,19,Premier League,7000000,0.0,0,5.95,,
FrĂ©dĂ©ric Sammaritano,FRA,33,Ligue 1,32500,0.52,0,6.7,,
Edinson Cavani,URU,32,Ligue 1,20000000,0.75,2,6.2,,
NicolĂˇs DomĂ­nguez,ARG,21,Serie A,15000000,0.13,1,6.07,,
Etrit Berisha,ALB,30,Serie A,2000000,0.0,2,6.61,,
Federico Marigosu,ITA,18,Serie A,25000,0.0,0,6.36,,
Phillipp Mwene,AUT,25,Bundesliga,80000,0.0,1,6.59,,
Fabrizio Cacciatore,ITA,32,Serie A,80000,0.0,2,5.98,,
JosĂ© Luis Palomino,ARG,29,Serie A,8000000,0.11,5,6.61,,
Krzysztof PiÄ…tek,POL,24,Bundesliga,21500000,0.5,2,7.03,,
Antonio CortĂ©s,ESP,19,La Liga,1300000,0.5,2,6.84,,
Farid Boulaya,ALG,26,Ligue 1,1000000,0.33,2,6.67,,
Sergio AgĂĽero,ARG,31,Premier League,52000000,1.18,1,6.74,,
Takehiro Tomiyasu,JPN,20,Serie A,13000000,0.15,8,6.62,,
Ronaldo Vieira,GNB,21,Serie A,6000000,0.05,12,6.51,,
DarĂ­o Poveda,ESP,22,La Liga,25000,0.0,0,5.96,,
Vincenzo Millico,ITA,18,Serie A,1000000,0.0,0,6.22,,
Lionel Messi,ARG,32,La Liga,112000000,1.44,4,7.36,,
Tammy Abraham,ENG,21,Premier League,40000000,0.73,2,6.75,,
