player,nationality,age,league,market_value_eur,score_contrib_per90,cards_2019_20,avg_match_rating,injury_days_total,married
Lucas Biglia,ARG,33,Serie A,2000000,0.13,4,,,
Mattia Viviani,ITA,18,Serie A,35000,0.0,0,,,
Josuha Guilavogui,FRA,28,Bundesliga,11000000,0.04,8,,,
Neven SubotiÄ‡,SRB,30,Bundesliga,1700000,0.05,4,,,
Dimitri Foulquier,FRA,26,La Liga,2000000,0.08,4,,,
Javier Manquillo,ESP,25,Premier League,4000000,0.06,5,,,
Gian Marco Ferrari,ITA,27,Serie A,8000000,0.05,5,,,
Yannis Clementia,FRA,22,Ligue 1,95000,0.0,0,,,
Lucas Castro,ARG,30,Serie A,3000000,0.3,2,,,
Maya Yoshida,JPN,30,Serie A,4000000,0.08,1,,,
Florian AyĂ©,FRA,22,Serie A,1000000,0.0,5,,,
Casemiro,BRA,27,La Liga,65000000,0.21,12,,,
Phil Jones,ENG,27,Premier League,7000000,0.0,0,,,
Matthew Lowton,ENG,30,Premier League,4000000,0.06,2,,,
Luca Zanimacchia,ITA,21,Serie A,25000,0.0,0,,,
Ben Davies,WAL,26,Premier League,17000000,0.0,6,,,
Wladimiro Falcone,ITA,24,Serie A,15000,0.0,1,,,
Filip KostiÄ‡,SRB,26,Bundesliga,32000000,0.45,4,,,
Vasco Regini,ITA,28,Serie A,72500,0.0,0,,,
Florian Kastenmeier,GER,22,Bundesliga,65000,0.0,0,,,
Jonjoe Kenny,ENG,22,Bundesliga,9000000,0.17,5,,,
Nicolas PĂ©pĂ©,CIV,24,Premier League,52000000,0.49,4,,,
AĂŻssa Mandi,ALG,27,La Liga,16000000,0.0,9,,,
Leighton Baines,ENG,34,Premier League,1000000,0.0,0,,,
John Stones,ENG,25,Premier League,36000000,0.0,0,,,
Pedrosa,ESP,21,La Liga,5000000,0.08,3,,,
Ă‰tienne Capoue,FRA,31,Premier League,5000000,0.1,8,,,
Rafinha,BRA,26,La Liga,9500000,0.0,0,,,
Mathew Ryan,AUS,27,Premier League,8000000,0.0,0,,,
Jack Stephens,ENG,25,Premier League,5000000,0.15,5,,,
Hugo Mallo,ESP,28,La Liga,7000000,0.05,7,,,
James McCarthy,IRL,28,Premier League,2000000,0.0,9,,,
Alfred Duncan,GHA,26,Serie A,13000000,0.64,3,,,
IĂ±igo MartĂ­nez,ESP,28,La Liga,25000000,0.06,10,,,
Sidnei,BRA,29,La Liga,5000000,0.08,1,,,
Hatem Ben Arfa,FRA,32,La Liga,4000000,0.0,1,,,
Lorenzo Pellegrini,ITA,23,Serie A,32000000,0.43,9,,,
Erik Pieters,NED,30,Premier League,4000000,0.19,2,,,
Pierre HĂ¸jbjerg,DEN,23,Premier League,25000000,0.03,5,,,
AarĂłn Escandell,ESP,23,La Liga,30000,0.0,0,,,
Sean Longstaff,ENG,21,Premier League,17000000,0.14,3,,,
Yves Bissouma,MLI,22,Premier League,9000000,0.07,4,,,
Roman BĂĽrki,SUI,28,Bundesliga,11000000,0.0,0,,,
Anthony Lopes,POR,28,Ligue 1,17000000,0.0,1,,,
Chris Richards,USA,19,Bundesliga,1000000,0.0,0,,,
Berat Djimsiti,ALB,26,Serie A,12000000,0.09,5,,,
Marco Stiepermann,GER,28,Premier League,3000000,0.0,6,,,
Sofiane Boufal,MAR,25,Premier League,8000000,0.24,2,,,
Juan Soriano,ESP,21,La Liga,1000000,0.0,2,,,
ClĂ©ment Vidal,FRA,19,Ligue 1,45000,0.0,1,,,
Matteo Politano,ITA,25,Serie A,22000000,0.48,1,,,
DĂ­dac VilĂ ,ESP,30,La Liga,3000000,0.0,9,,,
Sadio ManĂ©,SEN,27,Premier League,120000000,0.82,3,,,
Paulo Dybala,ARG,25,Serie A,72000000,0.71,5,,,
Benjamin Stambouli,FRA,28,Bundesliga,9000000,0.0,2,,,
Marshall Munetsi,ZIM,23,Ligue 1,80000,0.21,3,,,
Luca Sangalli,ESP,24,La Liga,2000000,0.24,0,,,
Allan Saint-Maximin,FRA,22,Premier League,20000000,0.33,0,,,
GonĂ§alo Guedes,POR,22,La Liga,22000000,0.28,3,,,
Martin Braithwaite,DEN,28,La Liga,9000000,0.22,1,,,
Jaume CuĂ©llar,BOL,17,Serie A,10000,0.0,0,,,
RaĂşl JimĂ©nez,MEX,28,Premier League,40000000,0.64,3,,,
Yann Gboho,FRA,18,Ligue 1,2000000,0.8,1,,,
Rene Krhin,SVN,29,Ligue 1,1000000,0.0,0,,,
Mark Uth,GER,27,Bundesliga,7500000,0.78,5,,,
Federico Santander,PAR,28,Serie A,4000000,0.12,6,,,
Kevin Agudelo,COL,20,Serie A,2000000,0.0,0,,,
Ante Budimir,CRO,28,La Liga,6000000,0.49,12,,,
Chadrac Akolo,COD,24,Ligue 1,1000000,0.5,1,,,
LoĂŻc Perrin,FRA,33,Ligue 1,1000000,0.0,5,,,
Riccardo Gagliolo,SWE,29,Serie A,2000000,0.17,7,,,
Ălvaro Odriozola,ESP,23,La Liga,16000000,0.26,4,,,
Musa Barrow,GAM,20,Serie A,11000000,0.95,0,,,
Josep SeĂ±Ă©,ESP,27,La Liga,30000,0.0,0,,,
Milan Skriniar,SVK,24,Serie A,50000000,0.0,10,,,
Jacob Bruun Larsen,DEN,20,Bundesliga,11000000,1.32,0,,,
Connor Wickham,ENG,26,Premier League,1000000,1.88,0,,,
Armando Izzo,ITA,27,Serie A,16000000,0.03,9,,,
Divock Origi,BEL,24,Premier League,16000000,0.63,1,,,
Adrien Rabiot,FRA,24,Serie A,25000000,0.1,8,,,
Marco Sportiello,ITA,27,Serie A,2000000,0.0,0,,,
Jean-Charles Castelletto,CMR,24,Ligue 1,2000000,0.05,4,,,
Bruno Ecuele Manga,GAB,31,Ligue 1,2000000,0.0,2,,,
Jonathan Ikone,FRA,21,Ligue 1,36000000,0.39,6,,,
Kiko FemenĂ­a,ESP,28,Premier League,4000000,0.0,5,,,
Morgan Gibbs-White,ENG,19,Premier League,7000000,0.0,0,,,
FrĂ©dĂ©ric Sammaritano,FRA,33,Ligue 1,32500,0.52,0,,,
Edinson Cavani,URU,32,Ligue 1,20000000,0.75,2,,,
NicolĂˇs DomĂ­nguez,ARG,21,Serie A,15000000,0.13,1,,,
Etrit Berisha,ALB,30,Serie A,2000000,0.0,2,,,
Federico Marigosu,ITA,18,Serie A,25000,0.0,0,,,
Phillipp Mwene,AUT,25,Bundesliga,80000,0.0,1,,,
Fabrizio Cacciatore,ITA,32,Serie A,80000,0.0,2,,,
JosĂ© Luis Palomino,ARG,29,Serie A,8000000,0.11000000000000001,5,,,
Krzysztof PiÄ…tek,POL,24,Bundesliga,21500000,0.5,2,,,
Antonio CortĂ©s,ESP,19,La Liga,1300000,0.5,2,,,
Farid Boulaya,ALG,26,Ligue 1,1000000,0.33,2,,,
Sergio AgĂĽero,ARG,31,Premier League,52000000,1.18,1,,,
Takehiro Tomiyasu,JPN,20,Serie A,13000000,0.15,8,,,
Ronaldo Vieira,GNB,21,Serie A,6000000,0.05,12,,,
DarĂ­o Poveda,ESP,22,La Liga,25000,0.0,0,,,
Vincenzo Millico,ITA,18,Serie A,1000000,0.0,0,,,
Lionel Messi,ARG,32,La Liga,112000000,1.44,4,,,
Tammy Abraham,ENG,21,Premier League,40000000,0.73,2,,,
